DATE,MKTRF,SMB,MGMT,PERF,RF
19961230,-0.002600,0.0017484229,0.0019641749,0.0029182324,0.00020
19961231,-0.010200,0.0195363997,-0.010259446,-0.005264399,0.00020
19970102,-0.007500,-0.000238432,0.0049788182,-0.00526681,0.00020
19970103,0.013900,-0.001548939,-0.006553153,0.0030250679,0.00020
19970106,0.000200,0.0039876968,-0.001892413,0.0057763523,0.00020
19970107,0.007200,-0.003391761,-0.005396073,-0.000537387,0.00020
19970108,-0.004400,0.0060116609,-0.001763747,-0.003756218,0.00020
19970109,0.007300,-0.006267275,0.0018100336,0.0009702452,0.00020
19970110,0.005000,-0.002139073,-0.002285478,0.0041742266,0.00020
19970113,-0.000600,0.0031326513,0.0021004258,0.0083655494,0.00020
19970114,0.011200,-0.005696342,-0.000917682,0.0023498467,0.00020
19970115,-0.002300,0.0021896324,0.0050040157,-5.006671E-6,0.00020
19970116,0.002500,0.0014230237,0.0000295577,0.0023384205,0.00020
19970117,0.007200,-0.002376153,-0.000229277,0.0052594547,0.00020
19970120,0.002600,0.0038041073,-0.006536888,0.0006617712,0.00020
19970121,0.005800,-0.003778522,-0.000708945,0.000527055,0.00020
19970122,0.004400,-0.002630712,-0.000508739,-0.003375074,0.00020
19970123,-0.008500,0.0098606213,-0.000908242,-0.003940614,0.00020
19970124,-0.009700,0.0030945636,0.0063270971,-0.003007931,0.00020
19970127,-0.007200,0.0017928506,0.0044487525,-0.005780331,0.00020
19970128,0.000100,0.0037546401,0.000065278,0.002745572,0.00020
19970129,0.006800,-0.00977688,0.0074909195,0.0033228992,0.00020
19970130,0.012200,-0.00288845,0.0009815993,0.0074219516,0.00020
19970131,0.003100,-0.000725911,-0.001620134,0.0076119408,0.00020
19970203,-0.000200,0.0015346248,0.0069859182,-0.003257072,0.00020
19970204,0.001200,-0.004150127,0.0068180222,-0.000759006,0.00020
19970205,-0.012800,0.004890124,0.0055932298,-0.004553859,0.00020
19970206,0.002400,-0.002007496,0.0011268201,-0.005196675,0.00020
19970207,0.009700,-0.007175277,0.0002974597,0.0055560296,0.00020
19970210,-0.006500,-0.004285186,0.0137948726,-0.013683509,0.00020
19970211,0.003200,-0.004340366,0.0080719016,-0.004769116,0.00020
19970212,0.015200,-0.006948249,-0.007512288,0.0040550232,0.00020
19970213,0.010100,-0.003256754,-0.001002319,-0.000549252,0.00020
19970214,-0.002200,0.0019401445,-0.001861465,-0.003289617,0.00020
19970218,0.007100,-0.002369666,0.0080270646,-0.002018799,0.00020
19970219,-0.003100,0.0063943637,0.0004964719,-0.000779307,0.00020
19970220,-0.011700,0.0023721859,0.0042645191,0.0005826216,0.00020
19970221,-0.002600,-0.000189505,0.0101094445,-0.001880373,0.00020
19970224,0.008500,-0.006243996,0.0011783651,0.0025861554,0.00020
19970225,0.002400,-0.002510288,-0.004320909,-0.000185396,0.00020
19970226,-0.007500,0.0001111966,0.0000723259,-0.000287917,0.00020
19970227,-0.012700,0.0056719568,0.0122276764,-0.010975833,0.00020
19970228,-0.004900,0.0028864687,0.0030148231,0.0039915006,0.00020
19970303,0.003900,-0.002084059,0.0062592258,-0.000100843,0.00020
19970304,-0.002900,0.0072269982,-0.010105826,-0.005669631,0.00020
19970305,0.011700,-0.006006559,-0.003126094,0.0055710958,0.00020
19970306,-0.003100,0.0013022559,0.0029795547,0.0011199269,0.00020
19970307,0.006700,-0.005447021,0.0042410041,-0.009389527,0.00020
19970310,0.008500,-0.001361233,0.0039815571,0.0075222471,0.00020
19970311,-0.002400,0.0054761889,0.0036328006,-0.002454243,0.00020
19970312,-0.008000,-0.001528748,-0.000288572,-0.003930355,0.00020
19970313,-0.016600,0.0082298546,-0.002436416,-0.001883259,0.00020
19970314,0.003100,-0.004037469,0.0015917925,-0.006845436,0.00020
19970317,-0.001100,-0.008428608,0.0124480783,0.0035069083,0.00020
19970318,-0.007700,0.0036616358,0.0031777735,-0.0023864,0.00020
19970319,-0.006500,-0.004547229,0.0090824868,-0.001678156,0.00020
19970320,-0.002000,0.0035219284,-0.011129442,-0.000817456,0.00020
19970321,0.000900,-0.004291781,0.0019705108,0.0013670077,0.00020
19970324,0.004700,-0.013408563,0.0139951641,-0.000101413,0.00020
19970325,-0.000800,0.0024173149,-0.001796227,0.0052810754,0.00020
19970326,0.002300,0.0057292158,-0.009602443,0.0051922801,0.00020
19970327,-0.019000,0.0127005645,0.0020302431,-0.001241468,0.00020
19970331,-0.022600,0.0069679112,0.0107187867,0.0004718737,0.00020
19970401,0.001700,-0.007201704,0.0046844955,0.0016300975,0.00020
19970402,-0.011700,0.0051936206,0.0027339745,0.0003464942,0.00020
19970403,-0.000200,-0.005379945,-0.003784291,-0.002197552,0.00020
19970404,0.011500,0.0014470017,-0.016504763,0.0042559808,0.00020
19970407,0.007700,0.0021829945,-0.005119409,0.0047931254,0.00020
19970408,0.004300,-0.004475862,0.0006023499,-0.004534998,0.00020
19970409,-0.005800,0.0094013557,0.0011400081,0.0013191406,0.00020
19970410,-0.004200,0.0005150182,0.0076089172,-0.004863536,0.00020
19970411,-0.024800,0.0091070286,0.0073890647,1.332185E-6,0.00020
19970414,0.005500,-0.005129124,0.0007098511,0.0051632839,0.00020
19970415,0.011900,-0.009292307,0.0061118653,0.0034623766,0.00020
19970416,0.008100,-0.007249551,0.0078653805,0.0035701341,0.00020
19970417,-0.001100,0.0013810372,-0.001910547,-0.001338938,0.00020
19970418,0.004200,0.002205173,0.0086666895,0.0042814564,0.00020
19970421,-0.009900,0.0030630417,0.0090882656,0.0100275572,0.00020
19970422,0.014000,-0.013270597,0.0075319721,0.0048049079,0.00020
19970423,-0.000300,-0.002506646,-0.009866362,0.0024614785,0.00020
19970424,-0.002200,0.0062932739,-0.003281908,-0.005933186,0.00020
19970425,-0.009500,-0.001534896,0.0090643366,-0.002636409,0.00020
19970428,0.008200,-0.008541681,0.0020789571,0.00158681,0.00020
19970429,0.024100,-0.012894432,-0.003017738,-0.001500728,0.00020
19970430,0.009300,-0.004064629,-0.011705894,-0.001636578,0.00020
19970501,-0.001000,0.0104291975,-0.005052724,-0.00284968,0.00020
19970502,0.019300,0.0062873213,-0.007271036,0.0018057075,0.00020
19970505,0.021600,-0.000243746,-0.012709208,0.005089297,0.00020
19970506,-0.003100,-0.002631827,-0.000635214,-0.009624679,0.00020
19970507,-0.011800,0.011034129,-0.001741335,-0.004023565,0.00020
19970508,0.004100,-0.006343067,-0.003527394,-0.001383783,0.00020
19970509,0.005100,0.0002375275,-0.000976955,0.0010827757,0.00020
19970512,0.012900,-0.005040453,-0.000917771,0.0058962285,0.00020
19970513,-0.004500,0.0037910126,0.0007270783,-0.001158099,0.00020
19970514,0.003500,-0.001670779,0.0014846984,-0.000684095,0.00020
19970515,0.005800,-0.002547446,-0.004162771,0.0021502013,0.00020
19970516,-0.011300,0.0112658886,0.0013890246,-0.007180244,0.00020
19970519,0.002800,0.002139936,0.002207991,0.0061980743,0.00020
19970520,0.009100,-0.009781301,-0.004383426,0.0024196794,0.00020
19970521,-0.001300,0.008657945,-0.002939645,0.0067997675,0.00020
19970522,-0.002700,0.0059072844,0.0008880537,-0.0014252,0.00020
19970523,0.012600,-0.00072984,-0.004183725,-0.004710063,0.00020
19970527,0.003000,0.0055153379,-0.005518739,0.0004677541,0.00020
19970528,-0.001100,0.0033983318,-0.002879907,-0.004977573,0.00020
19970529,-0.002800,0.0021886009,-0.000575275,-0.006538134,0.00020
19970530,0.005500,-0.002879811,0.0003691788,-0.009007687,0.00020
19970602,-0.000500,0.0077203078,-0.004627457,-0.005797933,0.00020
19970603,-0.001600,-0.001974331,0.0079790189,-0.003310013,0.00020
19970604,-0.004400,0.0019954028,-0.002360817,-0.003385481,0.00020
19970605,0.004200,-0.000413096,-0.000238368,-0.00157956,0.00020
19970606,0.014100,-0.009159324,0.0017632754,0.0035966943,0.00020
19970609,0.004800,-0.00103929,0.0000788058,-0.011180022,0.00020
19970610,0.001400,-0.006138813,0.0062502954,-0.006657968,0.00020
19970611,0.004100,0.0000653434,0.0035405318,0.0000329154,0.00020
19970612,0.012900,-0.006346489,0.006969673,0.0004478915,0.00020
19970613,0.009900,-0.0071254,0.0001679187,0.0083513573,0.00020
19970616,0.000400,0.0015344308,-0.002959497,0.001660539,0.00020
19970617,0.001300,0.0022618948,-0.004416842,0.0065892071,0.00020
19970618,-0.003800,-0.002340933,0.001383443,-0.000512985,0.00020
19970619,0.009500,0.0024879946,-0.000056039,0.0035671897,0.00020
19970620,-0.000400,-0.004826426,-0.001447978,0.0039991776,0.00020
19970623,-0.018400,0.0132227771,-0.001089191,-0.000424371,0.00020
19970624,0.016200,-0.003750889,0.0028786567,0.0063786918,0.00020
19970625,-0.007100,0.0025084071,-0.000033971,0.0013336536,0.00020
19970626,-0.005000,0.0046913732,0.0009312787,-0.002550302,0.00020
19970627,0.004200,0.001112095,0.0008983764,0.0074073563,0.00020
19970630,-0.001000,0.0143795151,-0.005945564,0.0025753355,0.00020
19970701,0.005500,-0.011411594,0.0033812893,-0.001875476,0.00020
19970702,0.011600,-0.011369362,0.0000552204,-0.000441933,0.00020
19970703,0.012000,-0.00711656,0.0027560343,0.0021680361,0.00020
19970707,-0.003500,0.0037950835,-0.000811369,0.0013791947,0.00020
19970708,0.006900,-0.000593384,-0.003310635,0.0028598457,0.00020
19970709,-0.009500,0.0064539636,-0.002194047,0.0014882604,0.00020
19970710,0.005700,-0.002493709,-0.002530565,0.0004969579,0.00020
19970711,0.004400,0.002642705,-0.004044632,-0.000883305,0.00020
19970714,0.002300,0.0036277069,-0.004816475,0.00668315,0.00020
19970715,0.007400,-0.001962547,-0.004625608,0.0028313969,0.00020
19970716,0.011300,-0.001993259,-0.00569171,0.0024993785,0.00020
19970717,-0.005500,0.0036239844,0.0008143014,0.0001049651,0.00020
19970718,-0.014100,0.0129527177,0.0039685687,-0.003043989,0.00020
